0 Ensemble_score =  1.803 z-score -2.626 Chi = 1.803 c1 = 1.045 c2 = 0.491
 488 Int300_9_B10970001_MSE.pdb.dat    (0.239) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.297) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.294) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.108) [ 0.989, 0.124, 0.054 ] 
1499 Basic350_6_B10170001_MSE.pdb.dat    (0.063) [ 0.033, 0.061, 0.007 ] 
22 Ensemble_score =  1.867 z-score -0.833 Chi = 1.867 c1 = 1.045 c2 = 0.587
 488 Int300_9_B10970001_MSE.pdb.dat    (0.218) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.305) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.280) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.145) [ 0.989, 0.124, 0.054 ] 
1433 Basic310_3_B10500001_MSE.pdb.dat    (0.051) [ 0.033, 0.060, 0.010 ] 
23 Ensemble_score =  1.868 z-score -0.811 Chi = 1.868 c1 = 1.046 c2 = 0.453
 488 Int300_9_B10970001_MSE.pdb.dat    (0.146) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.253) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.367) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.085) [ 0.989, 0.124, 0.054 ] 
1716 Basic320_1_B10290001_MSE.pdb.dat    (0.149) [ 0.002, 0.149, 1.000 ] 
24 Ensemble_score =  1.868 z-score -0.809 Chi = 1.868 c1 = 1.045 c2 = 0.587
 488 Int300_9_B10970001_MSE.pdb.dat    (0.217) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.300) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.293) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.134) [ 0.989, 0.124, 0.054 ] 
1595 Basic300_8_B10250001_MSE.pdb.dat    (0.056) [ 0.033, 0.067, 0.009 ] 
25 Ensemble_score =  1.869 z-score -0.793 Chi = 1.869 c1 = 1.045 c2 = 0.587
 488 Int300_9_B10970001_MSE.pdb.dat    (0.228) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.304) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.285) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.131) [ 0.989, 0.124, 0.054 ] 
1525 Basic300_8_B10290001_MSE.pdb.dat    (0.051) [ 0.002, 0.051, 1.000 ] 
26 Ensemble_score =  1.869 z-score -0.784 Chi = 1.869 c1 = 1.044 c2 = 0.487
 488 Int300_9_B10970001_MSE.pdb.dat    (0.281) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.289) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.305) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.067) [ 0.989, 0.124, 0.054 ] 
2284 Basic350_6_B10640001_MSE.pdb.dat    (0.058) [ 0.002, 0.058, 1.000 ] 
27 Ensemble_score =  1.869 z-score -0.778 Chi = 1.869 c1 = 1.045 c2 = 0.587
 488 Int300_9_B10970001_MSE.pdb.dat    (0.219) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.312) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.284) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.134) [ 0.989, 0.124, 0.054 ] 
1557 Basic350_6_B10160001_MSE.pdb.dat    (0.051) [ 0.033, 0.057, 0.008 ] 
28 Ensemble_score =  1.870 z-score -0.749 Chi = 1.870 c1 = 1.045 c2 = 0.549
 488 Int300_9_B10970001_MSE.pdb.dat    (0.256) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.300) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.294) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.095) [ 0.989, 0.124, 0.054 ] 
1770 Basic320_1_B10170001_MSE.pdb.dat    (0.056) [ 0.002, 0.056, 1.000 ] 
29 Ensemble_score =  1.872 z-score -0.694 Chi = 1.872 c1 = 1.045 c2 = 0.520
 488 Int300_9_B10970001_MSE.pdb.dat    (0.251) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.287) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.322) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.068) [ 0.989, 0.124, 0.054 ] 
2288 Int300_1_B10590001_MSE.pdb.dat    (0.072) [ 0.022, 0.061, 0.011 ] 
30 Ensemble_score =  1.872 z-score -0.692 Chi = 1.872 c1 = 1.045 c2 = 0.510
 488 Int300_9_B10970001_MSE.pdb.dat    (0.267) [ 0.411, 0.239, 0.030 ] 
