# | FILE                           | hit counts | ZScore sum. | Hit score (decimal) | Hit score (binary)
358 | Basic300_3_B10540001_MSE.dat | 6 | -7.540 | 90404 | 10110000100100100
359 | Basic300_3_B10550001_MSE.dat | 6 | -7.495 | 90404 | 10110000100100100
360 | Basic300_3_B10560001_MSE.dat | 6 | -7.456 | 90404 | 10110000100100100
361 | Basic300_3_B10570001_MSE.dat | 6 | -7.336 | 90404 | 10110000100100100
362 | Basic300_3_B10580001_MSE.dat | 6 | -7.566 | 90404 | 10110000100100100
363 | Basic300_3_B10590001_MSE.dat | 5 | -6.860 | 74020 | 10010000100100100
364 | Basic300_3_B10600001_MSE.dat | 5 | -6.870 | 74020 | 10010000100100100
365 | Basic300_3_B10610001_MSE.dat | 5 | -6.925 | 74020 | 10010000100100100
366 | Basic300_3_B10620001_MSE.dat | 5 | -7.000 | 74020 | 10010000100100100
367 | Basic300_3_B10630001_MSE.dat | 5 | -6.691 | 74020 | 10010000100100100
368 | Basic300_3_B10640001_MSE.dat | 5 | -6.942 | 74020 | 10010000100100100
369 | Basic300_3_B10650001_MSE.dat | 5 | -6.960 | 74020 | 10010000100100100
370 | Basic300_3_B10660001_MSE.dat | 4 | -5.942 | 73988 | 10010000100000100
371 | Basic300_3_B10670001_MSE.dat | 4 | -5.712 | 73988 | 10010000100000100
372 | Basic300_3_B10680001_MSE.dat | 3 | -4.773 | 65796 | 10000000100000100
373 | Basic300_3_B10690001_MSE.dat | 3 | -4.758 | 65796 | 10000000100000100
374 | Basic300_3_B10700001_MSE.dat | 2 | -3.757 | 65792 | 10000000100000000
375 | Basic300_3_B10710001_MSE.dat | 2 | -3.364 | 65792 | 10000000100000000
376 | Basic300_3_B10720001_MSE.dat | 3 | -4.438 | 69888 | 10001000100000000
377 | Basic300_3_B10730001_MSE.dat | 3 | -3.360 | 69888 | 10001000100000000
378 | Basic300_3_B10740001_MSE.dat | 3 | -3.912 | 69888 | 10001000100000000
379 | Basic300_3_B10750001_MSE.dat | 3 | -3.957 | 69888 | 10001000100000000
380 | Basic300_3_B10760001_MSE.dat | 3 | -3.926 | 69888 | 10001000100000000
381 | Basic300_3_B10770001_MSE.dat | 3 | -3.830 | 69888 | 10001000100000000
382 | Basic300_3_B10780001_MSE.dat | 2 | -2.132 | 65792 | 10000000100000000
383 | Basic300_3_B10790001_MSE.dat | 3 | -3.348 | 98560 | 11000000100000000
384 | Basic300_3_B10800001_MSE.dat | 2 | -2.151 | 65792 | 10000000100000000
385 | Basic300_3_B10810001_MSE.dat | 3 | -3.285 | 67840 | 10000100100000000
386 | Basic300_3_B10820001_MSE.dat | 3 | -3.465 | 67840 | 10000100100000000
387 | Basic300_3_B10830001_MSE.dat | 3 | -3.184 | 67840 | 10000100100000000
388 | Basic300_3_B10840001_MSE.dat | 3 | -3.163 | 67840 | 10000100100000000
